action,openwhisk,pagurus,prewarm,sock
all,62,7,16,28
cs_bot,0,0,0,0
ep_users_sign_up,0,0,0,0
ep_products_table_update,0,0,0,0
ep_orders_create_order,2,0,0,0
ep_products_validate,1,0,0,0
ep_delivery_on_package_created,0,0,0,0
ep_payment_validate,1,0,0,0
ep_warehouse_on_order_events,1,0,0,0
ep_warehouse_table_update,2,0,0,0
ep_payment_cancel_payment,0,0,0,0
ep_delivery_table_requests,2,0,0,0
ep_payment_process_payment,1,0,0,0
ep_orders_on_event,2,0,0,0
ep_orders_table_update,1,0,0,0
ep_payment_update_payment,1,0,0,0
df_union,0,0,0,0
eo_athenarunner,1,0,0,0
eo_gluerunner,3,0,0,0
eo_ons3objectcreated,0,0,0,0
fmp_twitter_streaming,3,0,1,4
fmp_twitterddb,0,0,0,0
fmp_comparefaces,0,0,0,0
fp_notification,4,1,0,4
fp_conversion,4,0,2,4
fp_sentiment,4,1,2,4
t_payment_method,3,1,0,0
t_ddb_encrypt_item,3,0,0,0
sc_add_to_cart,0,0,0,2
sc_update_cart,1,0,1,0
sc_list_cart,0,0,1,1
sc_migrate_cart,0,0,2,0
sc_checkout_cart,0,0,1,2
sc_delete_from_cart,0,0,2,1
tcp_download_podcast,3,0,1,0
tcp_check_transcribe,7,2,2,0
tcp_process_podcast_rss,6,2,1,2
tcp_upload_to_elasticsearch,2,0,0,2
cer_lambda,4,0,0,2
