action,openwhisk,pagurus,prewarm,sock,pagurus/openwhisk,prewarm/openwhisk,sock/openwhisk
cs_bot,,0.05269551277160645,,,,,
ep_users_sign_up,,,,,,,
ep_products_table_update,,,,,,,
ep_orders_create_order,0.6480635404586792,,,,,,
ep_products_validate,0.7446515560150146,,,,,,
ep_delivery_on_package_created,,,,,,,
ep_payment_validate,0.9636912345886228,,,,,,
ep_warehouse_on_order_events,0.8821442127227783,,,,,,
ep_warehouse_table_update,0.6468769311904907,,,,,,
ep_payment_cancel_payment,,,,,,,
ep_delivery_table_requests,0.7143876552581787,,,,,,
ep_payment_process_payment,0.8473067283630371,,,,,,
ep_orders_on_event,0.6283422708511353,,,,,,
ep_orders_table_update,0.7715685367584229,,,,,,
ep_payment_update_payment,0.7579326629638672,,,,,,
df_union,0.7505774497985841,0.18198299407958984,0.9355318546295166,0.536790132522583,0.24245731620157868,1.246416149166971,0.7151695440179152
eo_athenarunner,0.5887553691864014,0.017099201679229736,0.008936405181884766,0.009655117988586426,0.02904296516711016,0.015178469105485946,0.016399201593573224
eo_gluerunner,0.6174171924591064,0.015833914279937744,0.010511207580566406,0.009276628494262695,0.025645405526971095,0.01702448151581493,0.015024895010316897
eo_ons3objectcreated,,,,0.00738215446472168,,,
fmp_twitter_streaming,0.6582284569740295,0.039399266242980964,0.4863849639892578,,0.05985652219307721,0.7389303194596586,
fmp_twitterddb,,,0.008106231689453125,,,,
fmp_comparefaces,,,0.007695436477661133,,,,
fp_notification,0.6562308867772421,0.036854326725006104,0.46302831172943115,0.13192224502563477,0.0561606097299049,0.7055875013798404,0.20103022835987883
fp_conversion,0.7891353766123453,0.09767778714497884,0.5680102705955505,0.1966257095336914,0.12377823886732434,0.7197881218225751,0.2491660054296131
fp_sentiment,0.7023657162984213,0.02175009250640869,0.010448813438415527,,0.030966905134600146,0.014876599463713051,
t_payment_method,0.6602942943572998,0.014094352722167969,0.008719587326049804,0.00912470817565918,0.02134556188447269,0.013205607560999828,0.013819153449661038
t_ddb_encrypt_item,0.7012968540191651,0.1201962947845459,0.6887401103973388,0.3398111343383789,0.17139146439299607,0.9820949665610748,0.4845467827082146
sc_add_to_cart,,,0.018461942672729496,,,,
sc_update_cart,0.6367411613464355,0.029586434364318848,0.014708638191223145,0.01673334836959839,0.04646540252204864,0.023099870220609987,0.02627967121556035
sc_list_cart,,,,0.010266542434692385,,,
sc_migrate_cart,,0.024950265884399414,,0.01829606294631958,,,
sc_checkout_cart,,,0.013870000839233398,,,,
sc_delete_from_cart,,,,,,,
tcp_download_podcast,0.7132976651191711,0.09091835021972657,0.8755221366882324,0.47620169321695965,0.12746200452589002,1.227428855444183,0.6676058488673172
tcp_check_transcribe,0.736083680933172,0.08510991930961609,0.8556192943028041,0.46724624633789064,0.11562533107882214,1.162394054461431,0.6347732716279458
tcp_process_podcast_rss,0.7802875518798829,0.09656862417856853,0.8018709659576416,0.5424657265345255,0.12376030342392834,1.0276608463453756,0.6952125857033183
tcp_upload_to_elasticsearch,0.777897310256958,0.09525781869888306,0.826111912727356,0.5517194271087646,0.12245551879774097,1.0619806776995688,0.7092445491635889
cer_lambda,0.8582029342651367,0.2745394706726075,1.0245996316274006,0.674006462097168,0.3199004101607862,1.1938896858989958,0.7853695614246614
