action,openwhisk,pagurus,prewarm,sock
all,89,12,26,28
cs_bot,4,0,0,2
ep_users_sign_up,4,0,0,0
ep_products_table_update,2,0,0,0
ep_orders_create_order,6,0,0,0
ep_products_validate,0,0,0,0
ep_delivery_on_package_created,1,0,0,0
ep_payment_validate,0,0,0,0
ep_warehouse_on_order_events,1,0,0,0
ep_warehouse_table_update,3,1,0,0
ep_payment_cancel_payment,5,0,0,0
ep_delivery_table_requests,1,0,1,0
ep_payment_process_payment,0,0,0,0
ep_orders_on_event,3,0,0,0
ep_orders_table_update,0,0,0,0
ep_payment_update_payment,1,0,0,1
df_union,0,0,0,0
eo_athenarunner,0,0,0,0
eo_gluerunner,1,0,0,0
eo_ons3objectcreated,1,0,0,0
fmp_twitter_streaming,0,0,0,0
fmp_twitterddb,0,0,0,0
fmp_comparefaces,0,0,0,0
fp_notification,4,0,0,0
fp_conversion,4,1,2,3
fp_sentiment,4,2,2,1
t_payment_method,0,0,0,0
t_ddb_encrypt_item,1,0,0,0
sc_add_to_cart,5,1,2,4
sc_update_cart,5,1,1,1
sc_list_cart,5,2,5,3
sc_migrate_cart,5,0,3,5
sc_checkout_cart,5,1,4,2
sc_delete_from_cart,5,1,5,5
tcp_download_podcast,3,0,0,0
tcp_check_transcribe,3,1,0,0
tcp_process_podcast_rss,4,0,1,0
tcp_upload_to_elasticsearch,3,1,0,0
cer_lambda,0,0,0,1
